Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
A Bölge Müdürlüğü,IT-592-036,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2015-02-13,34000,34000,35184,TL
A Bölge Müdürlüğü,IT-592-018,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2015-02-18,10000,10000,1788,TL
A Bölge Müdürlüğü,IT-592-068,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2016-02-08,97000,97000,182571,TL
A Bölge Müdürlüğü,IT-592-066,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-11-11,1900000,1900000,2278038,TL
A Bölge Müdürlüğü,IT-592-006,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-08-03,1500000,1500000,1828341,TL
A Bölge Müdürlüğü,IT-592-038,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-12-21,50000000,50000000,7184426,TL
A Bölge Müdürlüğü,IT-592-054,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-29,15860000,15860000,22564027,TL
A Bölge Müdürlüğü,IT-592-076,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2017-01-05,35000000,35000000,83192646,TL
A Bölge Müdürlüğü,IT-592-024,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-03-31,11945645,11945645,572915,TL
A Bölge Müdürlüğü,IT-592-010,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-06-30,12516408,12516408,1762591,TL
A Bölge Müdürlüğü,IT-592-100,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-09-30,563350,563350,923731,TL
